company_id,type,rule_id,text,confidence_pct
ABB,PRO,PRO-07,High interest coverage ratio indicates comfortable debt servicing capability.,95.0
ABB,PRO,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,85.38
ABB,PRO,PRO-12,Growing asset base combined with debt reduction strengthens the balance sheet.,80.0
ABB,PRO,PRO-11,Positive operating leverage leads to disproportionate profit growth as sales expand.,78.6
ABB,PRO,PRO-06,Strong profit growth indicates robust bottom-line performance.,78.36
ABB,PRO,PRO-09,Consistent earnings-per-share growth demonstrates value creation for equity holders.,78.33
ABB,PRO,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,75.37
ABB,PRO,PRO-10,A steadily improving return on equity indicates growing profitability on shareholder capital.,73.28
ABB,CON,CON-FALLBACK,No major financial concerns identified.,60.0
ADANIENSOL,PRO,PRO-04,Robust revenue growth demonstrates strong market demand and business expansion.,73.7
ADANIENSOL,PRO,PRO-06,Strong profit growth indicates robust bottom-line performance.,71.79
ADANIENSOL,CON,CON-11,Elevated debt relative to asset base limits financial flexibility.,76.66
ADANIENSOL,CON,CON-01,Debt-to-equity ratio is elevated for a non-financial company and warrants monitoring.,74.3
ADANIENT,PRO,PRO-06,Strong profit growth indicates robust bottom-line performance.,100.0
ADANIENT,PRO,PRO-09,Consistent earnings-per-share growth demonstrates value creation for equity holders.,91.19
ADANIENT,PRO,PRO-04,Robust revenue growth demonstrates strong market demand and business expansion.,75.23
ADANIENT,PRO,PRO-10,A steadily improving return on equity indicates growing profitability on shareholder capital.,74.98
ADANIENT,CON,CON-05,Declining revenues signal shrinking business activity or market share loss.,100.0
ADANIGREEN,PRO,PRO-04,Robust revenue growth demonstrates strong market demand and business expansion.,95.97
ADANIGREEN,PRO,PRO-11,Positive operating leverage leads to disproportionate profit growth as sales expand.,75.46
ADANIGREEN,CON,CON-01,Debt-to-equity ratio is elevated for a non-financial company and warrants monitoring.,100.0
ADANIGREEN,CON,CON-11,Elevated debt relative to asset base limits financial flexibility.,81.82
ADANIGREEN,CON,CON-10,Low return on capital employed indicates suboptimal efficiency in deploying capital.,65.4
ADANIPORTS,PRO,PRO-11,Positive operating leverage leads to disproportionate profit growth as sales expand.,81.11
ADANIPORTS,PRO,PRO-04,Robust revenue growth demonstrates strong market demand and business expansion.,75.95
ADANIPORTS,PRO,PRO-07,High interest coverage ratio indicates comfortable debt servicing capability.,75.95
ADANIPORTS,PRO,PRO-10,A steadily improving return on equity indicates growing profitability on shareholder capital.,72.02
ADANIPORTS,CON,CON-FALLBACK,No major financial concerns identified.,60.0
